responden,jenis_kelamin,usia,pendidikan,penghasilan,aktivitas_meningkat_1,aktivitas_meningkat_2,aktivitas_meningkat_3,aktivitas_meningkat_4,aktivitas_meningkat_5,memiliki_akun_digital_bank?,digital_bank_pilihan_1,digital_bank_pilihan_2,digital_bank_pilihan_3,digital_bank_pilihan_4,digital_bank_pilihan_5,alasan_1,alasan_2,alasan_3,alasan_4,alasan_5,fitur_1,fitur_2,fitur_3,fitur_4,fitur_5,keluhan_1,keluhan_2,keluhan_3
407,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
408,Laki – laki,15-20 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,,,,,tidak,,,,,,,,,,,,,,,,,,
409,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
410,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
411,Perempuan,15-20 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,tidak,,,,,,,,,,,,,,,,,,
412,Perempuan,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,,,,ya,,,,,Neo by Bank Neo Commerce,,,,,promo,,Transfer,,,,,,
413,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
414,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,tidak,,,,,,,,,,,,,,,,,,
415,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,,,ya,,,Jago by Bank Jago,Blu by Bank BCA,,kemudahan transaksi,karena sedang tren,kemudahan pembukaan rekening,,promo,Cek Saldo,,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",Pembayaran Tagihan,Mutasi rekening/ History Transaksi/ Spending Tracker,,Tidak melakukan transaksi tapi saldo berkurang/ ada transaksi,Kesulitan menghubungi customer service
416,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
417,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
418,Laki – laki,41-50 tahun,S1,Rp 2 juta – Rp 5 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
419,Laki – laki,15-20 tahun,SMP,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
420,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
421,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
422,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,,,,tidak,,,,,,,,,,,,,,,,,,
423,Perempuan,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
424,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
425,Laki – laki,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,,,tidak,,,,,,,,,,,,,,,,,,
426,Laki – laki,15-20 tahun,S1,Rp 2 juta – Rp 5 juta,,,,,,tidak,,,,,,,,,,,,,,,,,,
427,Laki – laki,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,,,ya,Jenius by Bank BTPN,,,,,,,kemudahan pembukaan rekening,,,Cek Saldo,,,,,,,
428,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
429,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
430,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
431,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,kemudahan pembukaan rekening,fitur yang ditawarkan beragam dan memenuhi kebutuhan,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",Pembayaran Tagihan,Mutasi rekening/ History Transaksi/ Spending Tracker,,,
432,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
433,Laki – laki,>50 tahun,S1,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,,,,,
434,Laki – laki,15-20 tahun,SMA,Rp 5 juta – Rp 10 juta,,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
435,Perempuan,>50 tahun,SD,< Rp 2 juta,,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,,,,,
436,Perempuan,41-50 tahun,S1,> Rp 10 juta,,,,,,tidak,,,,,,,,,,,,,,,,,,
437,Laki – laki,>50 tahun,S1,> Rp 10 juta,Berbelanja online,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,,,,,
438,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,,,,tidak,,,,,,,,,,,,,,,,,,
439,Perempuan,>50 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,,,,,
440,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
441,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
442,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
443,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,Neo by Bank Neo Commerce,kemudahan transaksi,,kemudahan pembukaan rekening,,,,Transfer,,,,,,
444,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,,,,Cek Saldo,Transfer,,,,Transaksi tidak berhasil namun saldo berkurang,,
445,Perempuan,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,,,,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,,,,,,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,,
446,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
447,Perempuan,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,,,tidak,,,,,,,,,,,,,,,,,,
448,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,,,,kemudahan pembukaan rekening,,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",Pembayaran Tagihan,Mutasi rekening/ History Transaksi/ Spending Tracker,,,
449,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
450,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Blu by Bank BCA,,kemudahan transaksi,,,,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,,
451,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
452,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,Jago by Bank Jago,,,kemudahan transaksi,,kemudahan pembukaan rekening,,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,,
453,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Blu by Bank BCA,,kemudahan transaksi,,kemudahan pembukaan rekening,fitur yang ditawarkan beragam dan memenuhi kebutuhan,promo,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,,
454,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,,,promo,,,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,,
455,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,,kemudahan transaksi,,kemudahan pembukaan rekening,fitur yang ditawarkan beragam dan memenuhi kebutuhan,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,Mutasi rekening/ History Transaksi/ Spending Tracker,,,
456,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,,,,,,,Transfer,,,,,,
457,Laki – laki,21-30 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
458,Laki – laki,15-20 tahun,SMA,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,ya,,,,,,kemudahan transaksi,,,,,,Transfer,,,,,,
459,Laki – laki,15-20 tahun,S1,> Rp 10 juta,,,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,Blu by Bank BCA,,kemudahan transaksi,,,,,Cek Saldo,Transfer,,,Mutasi rekening/ History Transaksi/ Spending Tracker,,,Kesulitan menghubungi customer service
460,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
461,Perempuan,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,,,karena sedang tren,kemudahan pembukaan rekening,,,,Transfer,,,,,,
462,Perempuan,41-50 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,,,,Blu by Bank BCA,,kemudahan transaksi,,,,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",Pembayaran Tagihan,,,,
463,Laki – laki,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
464,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
465,Laki – laki,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,,,,,,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",Pembayaran Tagihan,,,,
466,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,,,,fitur yang ditawarkan beragam dan memenuhi kebutuhan,promo,Cek Saldo,Transfer,,,,,,
467,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
468,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
469,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,,kemudahan transaksi,,kemudahan pembukaan rekening,,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,Mutasi rekening/ History Transaksi/ Spending Tracker,,,
470,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Blu by Bank BCA,,kemudahan transaksi,karena sedang tren,,,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,Transaksi tidak berhasil namun saldo berkurang,,
471,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
472,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
473,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
474,tidak menjawab,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Blu by Bank BCA,,,,,fitur yang ditawarkan beragam dan memenuhi kebutuhan,promo,,Transfer,,,,,,
475,Laki – laki,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,,,,,
476,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
477,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,,karena sedang tren,kemudahan pembukaan rekening,,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,Transaksi tidak berhasil namun saldo berkurang,,
478,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
479,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
480,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
481,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
482,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,kemudahan pembukaan rekening,fitur yang ditawarkan beragam dan memenuhi kebutuhan,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",Pembayaran Tagihan,Mutasi rekening/ History Transaksi/ Spending Tracker,,,
483,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
484,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
485,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,kemudahan pembukaan rekening,,,,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,,
486,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,Melakukan konsultasi kesehatan secara online,ya,,,Jago by Bank Jago,Blu by Bank BCA,,kemudahan transaksi,,,,,,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,,,
487,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
488,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
489,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,,,,,,tidak,,,,,,,,,,,,,,,,,,
490,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
491,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,,,,tidak,,,,,,,,,,,,,,,,,,
492,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,,,,,,kemudahan transaksi,,kemudahan pembukaan rekening,,promo,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",Pembayaran Tagihan,Mutasi rekening/ History Transaksi/ Spending Tracker,,,
493,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,,,,,
494,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
495,Laki – laki,15-20 tahun,SMP,tidak menjawab,,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,,,,,
496,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,kemudahan pembukaan rekening,,,Cek Saldo,Transfer,,,,,,
497,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Blu by Bank BCA,,kemudahan transaksi,,,,,,Transfer,,,,,,
498,Perempuan,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
499,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
500,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
501,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
502,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,kemudahan pembukaan rekening,fitur yang ditawarkan beragam dan memenuhi kebutuhan,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",Pembayaran Tagihan,,,,
503,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,,fitur yang ditawarkan beragam dan memenuhi kebutuhan,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,,Transaksi tidak berhasil namun saldo berkurang,,
504,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
505,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
506,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
507,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
508,Perempuan,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
509,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
510,tidak menjawab,tidak menjawab,tidak menjawab,< Rp 2 juta,,,,,,tidak,,,,,,,,,,,,,,,,,,
511,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,tidak,,,,,,,,,,,,,,,,,,
512,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
513,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
514,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
515,Perempuan,15-20 tahun,S1,< Rp 2 juta,,,,,,tidak,,,,,,,,,,,,,,,,,,
516,Laki – laki,15-20 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,,,ya,,Digibank by Bank DBS,,Blu by Bank BCA,,,karena sedang tren,,,promo,,Transfer,,,,,,
517,Perempuan,15-20 tahun,SMA,tidak menjawab,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,kemudahan pembukaan rekening,,,,Transfer,,,,,,
518,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,,,promo,Cek Saldo,Transfer,,,Mutasi rekening/ History Transaksi/ Spending Tracker,,,
519,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,,,,,,,kemudahan pembukaan rekening,,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",Pembayaran Tagihan,Mutasi rekening/ History Transaksi/ Spending Tracker,,,
520,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
521,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,Melakukan konsultasi kesehatan secara online,tidak,,,,,,,,,,,,,,,,,,
522,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,,,,,Neo by Bank Neo Commerce,kemudahan transaksi,,kemudahan pembukaan rekening,fitur yang ditawarkan beragam dan memenuhi kebutuhan,promo,,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",Pembayaran Tagihan,,,,
523,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
524,Perempuan,31-40 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
525,Perempuan,41-50 tahun,S1,< Rp 2 juta,,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
526,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
527,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
528,Laki – laki,15-20 tahun,S1,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,,,tidak,,,,,,,,,,,,,,,,,,
529,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
530,Perempuan,15-20 tahun,SMA,tidak menjawab,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
531,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
532,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,kemudahan pembukaan rekening,,promo,,,,,,,,
533,Laki – laki,15-20 tahun,S1,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,,,ya,,,,,,,,,,,,,,,,,,
534,Perempuan,31-40 tahun,SMA,Rp 2 juta – Rp 5 juta,,,,,,tidak,,,,,,,,,,,,,,,,,,
535,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
536,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,kemudahan transaksi,,,,,Cek Saldo,Transfer,"Pembelian Pulsa, eMoney, & voucher-voucher lainnya",,Mutasi rekening/ History Transaksi/ Spending Tracker,Transaksi tidak berhasil namun saldo berkurang,,
537,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
538,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
539,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,tidak,,,,,,,,,,,,,,,,,,
540,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Jenius by Bank BTPN,,,,,,,,,,,,,Pembayaran Tagihan,,,Tidak melakukan transaksi tapi saldo berkurang/ ada transaksi,
