responden,jenis_kelamin,usia,pendidikan,penghasilan,aktivitas_meningkat_1,aktivitas_meningkat_2,aktivitas_meningkat_3,aktivitas_meningkat_4,aktivitas_meningkat_5,menggunakan_ecommerce?,ecommerce_pilihan_1,ecommerce_pilihan_2,ecommerce_pilihan_3,ecommerce_pilihan_4,ecommerce_pilihan_5,tujuan_1,tujuan_2,tujuan_3,tujuan_4,tujuan_5,alasan_1,alasan_2,alasan_3,alasan_4,alasan_5,keluhan_1,keluhan_2,keluhan_3
457,Laki – laki,21-30 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",,fashion,handphone,,tiket pesawat,buku/koleksi,,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,,"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
458,Laki – laki,15-20 tahun,SMA,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,,,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
459,Laki – laki,15-20 tahun,S1,> Rp 10 juta,,,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,,,,"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
460,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",Traveloka,,,,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,,,,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
461,Perempuan,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
462,Perempuan,41-50 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,Tokopedia,Shopee,,,,fashion,handphone,,tiket pesawat,buku/koleksi,,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
463,Laki – laki,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,ya,Tokopedia,Shopee,Lazada,,,fashion,,makanan/minuman,tiket pesawat,buku/koleksi,,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
464,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,,,,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
465,Laki – laki,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",Traveloka,fashion,,,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,,,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,
466,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,,,,,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,,,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,
467,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,,,,handphone,,,,Lebih murah,Banyak promo,,,,,,
468,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,Tokopedia,Shopee,Lazada,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,,buku/koleksi,,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
469,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,,Lebih murah,,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
470,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,,,,,,
471,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,,tiket pesawat,buku/koleksi,,Banyak promo,,,,,,
472,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,handphone,,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,
473,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
474,tidak menjawab,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
475,Laki – laki,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",Traveloka,,,makanan/minuman,tiket pesawat,buku/koleksi,,,,Dapat belanja kapan saja dan di mana saja,,,,
476,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,
477,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,,tiket pesawat,buku/koleksi,,Banyak promo,,,,,,
478,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
479,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,,,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
480,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,handphone,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
481,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,handphone,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,,,,,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
482,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,handphone,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,
483,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,,,,,,tiket pesawat,buku/koleksi,,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
484,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,,tiket pesawat,buku/koleksi,,,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
485,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
486,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,Melakukan konsultasi kesehatan secara online,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,handphone,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,,,,,,,
487,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,
488,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,,,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
489,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,,,,,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",Traveloka,,,makanan/minuman,tiket pesawat,,,Banyak promo,,,,"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
490,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,Lazada,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,,,,,,
491,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,,,,ya,Tokopedia,Shopee,,,,fashion,,,tiket pesawat,buku/koleksi,,Banyak promo,,,,,,
492,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
493,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,,,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
494,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
495,Laki – laki,15-20 tahun,SMP,tidak menjawab,,Streaming video/ film,,,,ya,Tokopedia,Shopee,Lazada,,,,handphone,,tiket pesawat,,,Banyak promo,,,,,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,
496,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,,,,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
497,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
498,Perempuan,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",Traveloka,,,,tiket pesawat,buku/koleksi,,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,
499,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",,,,,,,,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,,"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
500,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,,,,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,
501,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,,,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
502,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
503,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,,Menghindari keramaian (karena COVID-19),,,
504,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,,,,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
505,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,Lazada,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
506,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,,,,handphone,,,,,,,,,,,
507,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",,,handphone,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,,,,
508,Perempuan,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,,,,,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,
509,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",Traveloka,,,makanan/minuman,tiket pesawat,,,,,,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
510,tidak menjawab,tidak menjawab,tidak menjawab,< Rp 2 juta,,,,,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
511,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,,tiket pesawat,buku/koleksi,,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
512,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,,,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
513,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",,fashion,handphone,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,
514,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
515,Perempuan,15-20 tahun,S1,< Rp 2 juta,,,,,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,,,"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,
516,Laki – laki,15-20 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,,,ya,Tokopedia,,,"Gojek (GoFood, GoShop, dll)",Traveloka,,handphone,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
517,Perempuan,15-20 tahun,SMA,tidak menjawab,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,handphone,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
518,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,Lebih banyak pilihan toko dan produk,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
519,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,,,Banyak promo,Lebih banyak pilihan toko dan produk,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
520,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,buku/koleksi,,,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
521,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,Melakukan konsultasi kesehatan secara online,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",Traveloka,fashion,,makanan/minuman,tiket pesawat,buku/koleksi,,,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
522,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,handphone,makanan/minuman,tiket pesawat,buku/koleksi,,,Lebih banyak pilihan toko dan produk,,Menghindari keramaian (karena COVID-19),,,
523,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,,,fashion,,makanan/minuman,tiket pesawat,buku/koleksi,,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
524,Perempuan,31-40 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
525,Perempuan,41-50 tahun,S1,< Rp 2 juta,,,Mengikuti kelas online,,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,,,,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),"Pembayaran sudah dilakukan, tetapi barang ternyata tidak tersedia",,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
526,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",Traveloka,fashion,handphone,,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,
527,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
528,Laki – laki,15-20 tahun,S1,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,,,ya,Tokopedia,Shopee,,,,fashion,handphone,,tiket pesawat,buku/koleksi,,Banyak promo,,,,,,
529,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
